id,player_name,15-16_games,15-16_mins_played,15-16_goals,15-16_goals_per_90,15-16_npg,15-16_npg_per_90,15-16_xG,15-16_xG_per_90,15-16_npxG,15-16_npxG_per_90,15-16_assists,15-16_assists_per_90,15-16_xA,15-16_xA_per_90,15-16_xGChain,15-16_xGChain_per_90,15-16_xGBuildup,15-16_xGBuildup_per_90,15-16_shots,15-16_shots_per_90,15-16_key_passes,15-16_key_passes_per_90,15-16_yellow_cards,15-16_red_cards,15-16_team,15-16_league
647,Harry Kane,38,3382,25,0.6652868125369603,20,0.5322294500295683,22.732073578983545,0.6049339509487046,18.926266126334667,0.5036558105766175,1,0.02661147250147842,3.088511780835688,0.08218984632620105,26.939671490341425,0.7169043270640828,8.189033068716526,0.21792222832184724,159,4.231224127735068,44,1.1709047900650502,5,0,Tottenham,EPL
619,Sergio Agüero,30,2399,24,0.9003751563151313,20,0.7503126302626094,20.077213659882545,0.7532093494745432,16.271369472146034,0.610430701331031,2,0.07503126302626094,2.0287597198039293,0.07611020207684603,18.786789989098907,0.704798290545603,3.925958522595465,0.14728481326952558,119,4.464360150062526,27,1.0129220508545227,1,0,Manchester City,EPL
755,Jamie Vardy,36,3154,24,0.6848446417247939,19,0.5421686746987953,22.135407269001007,0.631638127523808,17.56843115389347,0.5013185808022868,6,0.17121116043119847,6.267152491956949,0.1788344084578711,24.595971267670397,0.7018507971117107,2.8863560035824776,0.08236272679848541,115,3.281547241597971,48,1.3696892834495877,5,1,Leicester,EPL
594,Romelu Lukaku,37,3194,18,0.5072010018785222,17,0.47902316844082654,20.05878111720085,0.5652129932836809,18.53648015856743,0.5223178504292637,6,0.16906700062617408,5.680434506386519,0.1600623373746984,24.024903159588572,0.6769697195876555,7.63484107516706,0.2151332801393348,118,3.3249843456480903,51,1.4370695053224798,3,0,Everton,EPL
750,Riyad Mahrez,37,3087,17,0.4956268221574344,13,0.37900874635568516,11.882148338481784,0.34641831890617447,7.315135253593326,0.21326924937589872,11,0.3206997084548105,11.45409781858325,0.3339387119120481,21.18506269901991,0.6176403119247788,7.174407683312893,0.20916640476130882,86,2.507288629737609,68,1.9825072886297377,1,0,Leicester,EPL
502,Olivier Giroud,38,2411,16,0.5972625466611364,15,0.5599336374948154,14.503995144739749,0.5414183173067513,13.742826307192445,0.5130047149097139,6,0.22397345499792617,5.762218959629536,0.2150973481404638,18.88523508235812,0.7049652249739654,6.915774317458272,0.2581583113111756,101,3.770219825798424,36,1.343840729987557,2,0,Arsenal,EPL
573,Odion Ighalo,37,3160,15,0.4272151898734177,15,0.4272151898734177,16.093813683837652,0.4583681112485407,16.093813683837652,0.4583681112485407,3,0.08544303797468354,2.2321923915296797,0.0635750997587567,18.00225553661585,0.5127224678150083,2.764592749066651,0.07873840108101221,109,3.1044303797468356,37,1.0537974683544304,4,0,Watford,EPL
735,Jermain Defoe,33,2558,15,0.527756059421423,14,0.49257232212666147,11.712618228048086,0.41209368276947916,10.951449390500784,0.3853129183522559,1,0.035183737294761534,1.1022662846371531,0.038781847387546434,12.26389168575406,0.43148954328298106,1.326957743614912,0.04668733265259659,85,2.9906176700547302,22,0.7740422204847537,3,0,Sunderland,EPL
498,Alexis Sánchez,30,2463,13,0.47503045066991473,13,0.47503045066991473,13.104380078613758,0.47884458265336505,13.104380078613758,0.47884458265336505,4,0.146163215590743,8.554748680442572,0.31259739392603797,27.01940755546093,0.9873108729157466,11.864847148768604,0.4335510529391694,107,3.9098660170523756,62,2.2655298416565164,1,0,Arsenal,EPL
574,Troy Deeney,38,3291,13,0.35551504102096626,7,0.19143117593436645,12.199144696816802,0.33361380210073294,6.870962786488235,0.18790235514553058,7,0.19143117593436645,7.923331122845411,0.2166817991662373,15.776730716228483,0.43145115905820824,3.990332080051303,0.1091248517789782,94,2.570647219690064,56,1.5314494074749316,6,0,Watford,EPL
