id,player_name,20-21_games,20-21_mins_played,20-21_goals,20-21_goals_per_90,20-21_npg,20-21_npg_per_90,20-21_xG,20-21_xG_per_90,20-21_npxG,20-21_npxG_per_90,20-21_assists,20-21_assists_per_90,20-21_xA,20-21_xA_per_90,20-21_xGChain,20-21_xGChain_per_90,20-21_xGBuildup,20-21_xGBuildup_per_90,20-21_shots,20-21_shots_per_90,20-21_key_passes,20-21_key_passes_per_90,20-21_yellow_cards,20-21_red_cards,20-21_team,20-21_league
647,Harry Kane,35,3097,23,0.6683887633193413,19,0.5521472392638037,22.17485890910029,0.6444098488275836,19.1301834397018,0.555930419623236,14,0.4068453341943816,7.577093588188291,0.22019322665061225,24.995648321695622,0.726383063917535,4.451256847940385,0.1293552199918097,138,4.010332579916048,49,1.423958669680336,1,0,Tottenham,EPL
1250,Mohamed Salah,37,3085,22,0.6418152350081037,16,0.46677471636952994,20.250846637412906,0.5907864497138288,15.683833638206124,0.45755106237878485,5,0.1458670988654781,6.528526101261377,0.19045943245170954,28.968233548104763,0.8451024373839314,9.800235655158758,0.2859063886432053,126,3.675850891410049,55,1.6045380875202593,0,0,Liverpool,EPL
1228,Bruno Fernandes,37,3117,18,0.519730510105871,9,0.2598652550529355,16.0194544615224,0.46254440216137827,8.40783962700516,0.24276726545731936,12,0.34648700673724736,11.474995978176594,0.3313280840666966,26.911412378773093,0.7770378935160662,11.93228487111628,0.34453180571076847,121,3.4937439846005773,95,2.743022136669875,6,0,Manchester United,EPL
453,Son Heung-Min,37,3139,17,0.4874163746416056,16,0.4587448231920994,11.023286756128073,0.3160547333709865,10.26211790367961,0.2942308414562488,10,0.28671551449506216,9.512992469593884,0.27275225303072625,20.6719155497849,0.5926958902455052,6.608751138672233,0.18948314828942367,68,1.9496654985664224,75,2.150366358712966,0,0,Tottenham,EPL
822,Patrick Bamford,38,3085,17,0.49594813614262556,15,0.4376012965964344,18.401862610131506,0.5368452625321996,16.87952494621277,0.4924334668263044,7,0.20421393841166938,3.7822465524077415,0.11034106635873477,23.394952706992623,0.6825107758928156,4.131795546039939,0.12053860588123,107,3.1215559157212316,30,0.8752025931928687,3,0,Leeds,EPL
5555,Dominic Calvert-Lewin,33,2878,16,0.5003474635163307,16,0.5003474635163307,18.210513669997454,0.5694740202570434,18.210513669997454,0.5694740202570434,0,0.0,2.101818833500147,0.06572748263204073,19.88430647552013,0.6218163943004905,4.270797714591026,0.13355517523043517,83,2.595552466990966,18,0.5628908964558722,3,0,Everton,EPL
755,Jamie Vardy,34,2848,15,0.47401685393258425,7,0.22120786516853932,19.94294610992074,0.6302195048781133,13.0924265794456,0.4137353905021433,9,0.28441011235955055,5.087881522253156,0.16078277282401124,18.227907367050648,0.5760223535935949,2.41258773393929,0.07624048316521632,82,2.591292134831461,28,0.8848314606741573,1,0,Leicester,EPL
8865,Ollie Watkins,37,3330,14,0.3783783783783784,13,0.3513513513513513,16.280177645385265,0.4400048012266288,14.757840014994144,0.39886054094578766,5,0.13513513513513514,5.314029491506517,0.14362241868936532,22.014020785689357,0.594973534748361,5.334991173818708,0.14418895064374887,98,2.6486486486486487,45,1.2162162162162162,2,1,Aston Villa,EPL
314,Ilkay Gündogan,28,2033,13,0.5755041810132808,12,0.5312346286276438,9.566883080638943,0.4235216317056099,8.044545345939696,0.3561284216107096,2,0.08853910477127397,3.8162196557968855,0.16894233596739777,19.286811731755733,0.8538185223108786,10.148374736309052,0.44926400701810854,54,2.3905558288243975,42,1.8593212001967534,1,0,Manchester City,EPL
3277,Alexandre Lacazette,31,1939,13,0.6034038164002063,10,0.46415678184631254,12.028909418731928,0.5583299884919409,9.7454028762877,0.45233948368534965,2,0.09283135636926251,2.209213115274906,0.10254212499986672,14.361542394384742,0.6666007300127007,2.9379407837986946,0.1363665139463035,45,2.0887055183084065,22,1.0211449200618876,3,0,Arsenal,EPL
