id,player_name,19-20_games,19-20_mins_played,19-20_goals,19-20_goals_per_90,19-20_npg,19-20_npg_per_90,19-20_xG,19-20_xG_per_90,19-20_npxG,19-20_npxG_per_90,19-20_assists,19-20_assists_per_90,19-20_xA,19-20_xA_per_90,19-20_xGChain,19-20_xGChain_per_90,19-20_xGBuildup,19-20_xGBuildup_per_90,19-20_shots,19-20_shots_per_90,19-20_key_passes,19-20_key_passes_per_90,19-20_yellow_cards,19-20_red_cards,19-20_team,19-20_league
227,Robert Lewandowski,31,2763,34,1.1074918566775245,29,0.9446254071661238,31.196764232590795,1.0161812453612635,27.40788071230054,0.8927648440488776,4,0.13029315960912052,7.27112489938736,0.2368444592634319,39.65040745027363,1.291544216621291,9.743498254567385,0.3173777933083839,138,4.495114006514658,36,1.1726384364820848,5,0,Bayern Munich,Bundesliga
65,Timo Werner,34,2825,28,0.8920353982300885,25,0.7964601769911505,23.448496147990227,0.7470317356881843,21.175246581435204,0.6746096256032454,8,0.25486725663716814,9.675973629578948,0.30826110678304613,35.58640310168266,1.133726116513784,7.971801660954952,0.2539689024729011,123,3.9185840707964603,53,1.688495575221239,4,0,RasenBallsport Leipzig,Bundesliga
6345,Jadon Sancho,32,2284,17,0.669877408056042,17,0.669877408056042,10.752356511540713,0.42369180649678817,10.752356511540713,0.42369180649678817,16,0.6304728546409808,11.467584103345873,0.4518750303420003,28.81959581375122,1.135623302643437,11.866171091794968,0.46758117261889104,52,2.0490367775831873,69,2.718914185639229,2,0,Borussia Dortmund,Bundesliga
7052,Wout Weghorst,32,2736,16,0.5263157894736842,12,0.39473684210526316,17.83846941590309,0.5867917571020753,14.807362675666807,0.4870842985416713,3,0.09868421052631579,2.214334961026907,0.07283996582325351,19.15777320973575,0.6301899082149918,5.003612424246967,0.16459251395549232,85,2.7960526315789473,37,1.2171052631578947,7,0,Wolfsburg,Bundesliga
7060,Rouwen Hennings,32,2458,15,0.549227013832384,11,0.40276647681041494,11.296850249171255,0.41363568853759686,8.266151413321495,0.3026662437749937,0,0.0,1.0592173682525754,0.03878338614431724,8.532810872420669,0.3124300156704069,1.145246358588338,0.04193334917532563,73,2.6729048006509357,22,0.8055329536208299,4,0,Fortuna Duesseldorf,Bundesliga
48,Jhon Córdoba,29,2015,13,0.5806451612903226,13,0.5806451612903226,8.334681287407875,0.3722686431100292,8.334681287407875,0.3722686431100292,2,0.08933002481389578,2.022234690375626,0.09032313753538776,12.444190974347292,0.5558199442636508,3.328171433880925,0.14865281838674108,60,2.6799007444168734,25,1.1166253101736974,5,0,FC Cologne,Bundesliga
306,Florian Niederlechner,33,2762,13,0.42360608254887766,12,0.39102099927588707,14.08519545942545,0.4589672669617272,12.569642134010792,0.40958283564843273,6,0.19551049963794354,5.857984284870327,0.19088290573436983,17.579499386250973,0.5728294513984749,1.623776776716113,0.052910901486042786,78,2.5416364952932655,29,0.944967414916727,1,0,Augsburg,Bundesliga
1275,Robin Quaison,32,2631,13,0.4446978335233751,12,0.4104903078677309,11.19670258462429,0.3830114909221536,10.438925847411156,0.3570898237426849,2,0.06841505131128849,2.761399721726775,0.09446065182645753,13.350593319162726,0.4566907634833316,3.494771939702332,0.11954750078799312,71,2.428734321550741,28,0.9578107183580387,2,0,Mainz 05,Bundesliga
8260,Erling Haaland,15,1061,13,1.1027332704995287,13,1.1027332704995287,8.889345575124025,0.7540443937428485,8.889345575124025,0.7540443937428485,2,0.1696512723845429,1.5264748334884644,0.1294841988821506,11.366184580139816,0.9641438380891456,2.9849864905700088,0.25320337808793664,33,2.7992459943449575,9,0.7634307257304429,0,0,Borussia Dortmund,Bundesliga
956,Andrej Kramaric,19,1411,12,0.7654145995747696,10,0.6378454996456414,9.8987745847553,0.631388882089282,8.383221169933677,0.5347199895776265,2,0.1275690999291283,4.02412052731961,0.25667671683824583,11.398422569036484,0.7270432538719231,2.765835339203477,0.17641756238718137,44,2.8065201984408223,28,1.7859673990077958,3,0,Hoffenheim,Bundesliga
