id,player_name,16-17_games,16-17_mins_played,16-17_goals,16-17_goals_per_90,16-17_npg,16-17_npg_per_90,16-17_xG,16-17_xG_per_90,16-17_npxG,16-17_npxG_per_90,16-17_assists,16-17_assists_per_90,16-17_xA,16-17_xA_per_90,16-17_xGChain,16-17_xGChain_per_90,16-17_xGBuildup,16-17_xGBuildup_per_90,16-17_shots,16-17_shots_per_90,16-17_key_passes,16-17_key_passes_per_90,16-17_yellow_cards,16-17_red_cards,16-17_team,16-17_league
2097,Lionel Messi,34,2832,37,1.1758474576271185,31,0.9851694915254237,26.885174363851547,0.8544017276647737,21.68223083019257,0.6890539458747639,9,0.2860169491525424,13.955131396651268,0.4434893452325615,42.52504535019398,1.3514315259595544,18.13351222872734,0.576276871675657,179,5.688559322033898,79,2.510593220338983,6,0,Barcelona,LaLiga
2098,Luis Suárez,35,2870,29,0.9094076655052264,29,0.9094076655052264,23.78064550086856,0.7457345279018015,23.78064550086856,0.7457345279018015,13,0.4076655052264809,11.039603393524883,0.34618965345548414,39.09228644520044,1.2258905157031499,9.213264803402126,0.2889177116049447,120,3.7630662020905925,62,1.9442508710801394,8,0,Barcelona,LaLiga
2371,Cristiano Ronaldo,29,2546,25,0.8837391987431265,19,0.6716417910447761,25.413737758994102,0.8983646497680555,19.467644795775414,0.6881728325293744,6,0.21209740769835037,4.591035931371152,0.16229113661563382,29.57457834482193,1.0454485667847502,8.661094894632697,0.30616596249683536,162,5.7266300078554595,31,1.0958366064414768,4,0,Real Madrid,LaLiga
2290,Iago Aspas,32,2317,19,0.7380233059991369,13,0.5049633146309883,13.990092385560274,0.5434218017697129,9.530682424083352,0.3702034605815717,3,0.11652999568407424,5.44426878541708,0.21147353935586413,15.566101256757976,0.6046392374226232,3.66619073972106,0.14240706369222936,78,3.02977988778593,50,1.9421665947345708,8,1,Celta Vigo,LaLiga
2270,Antoine Griezmann,36,3072,16,0.46875,16,0.46875,11.52330480888486,0.33759682057279866,10.03674952313304,0.29404539618553827,8,0.234375,7.356404351070523,0.21551965872276924,23.41523878276348,0.6859933237137739,8.286495961248875,0.24276843636471312,88,2.578125,56,1.640625,3,0,Atletico Madrid,LaLiga
2410,Aduriz,32,2464,16,0.5844155844155845,11,0.40178571428571425,15.069717222824693,0.5504360998596681,11.353329183533788,0.414691406866088,1,0.03652597402597403,1.627039710059762,0.05942921018887117,13.694360074587166,0.5001998403867065,2.1255903067067266,0.07763925633263205,85,3.104707792207792,24,0.8766233766233766,8,1,Athletic Club,LaLiga
1804,Álvaro Morata,26,1326,15,1.0180995475113122,15,1.0180995475113122,9.517800079658628,0.646004530293572,9.517800079658628,0.646004530293572,4,0.2714932126696833,3.836930301040411,0.26042513355477903,15.497442090883853,1.0518625853541077,3.9718160089105368,0.26958027209800023,55,3.733031674208145,17,1.1538461538461537,8,0,Real Madrid,LaLiga
2537,Sandro Ramírez,30,2321,14,0.5428694528220595,14,0.5428694528220595,6.997657286934555,0.27134388445674706,6.254507529549301,0.2425272200169914,3,0.11632916846186989,2.9984878404065967,0.11627053237250914,9.065592529252172,0.3515309468473483,2.0745892161503434,0.0804450794715773,92,3.5674278328306763,31,1.2020680741059888,4,0,Malaga,LaLiga
2099,Neymar,30,2652,13,0.4411764705882353,12,0.40723981900452494,14.175591252744198,0.4810721013374728,13.432441525161266,0.4558520879579615,11,0.3733031674208145,10.670383967459202,0.3621171029680724,30.410841055214405,1.0320421172584073,12.35006081685424,0.4191197109792163,105,3.5633484162895925,91,3.088235294117647,6,1,Barcelona,LaLiga
2120,Gerard Moreno,37,3286,13,0.3560559951308582,13,0.3560559951308582,8.475201631896198,0.23212664238303646,7.7319240076467395,0.21176906898606407,4,0.10955569080949483,2.629427490755916,0.07201718629581025,10.779367482289672,0.2952352627529125,3.069734778255224,0.0840767285584206,82,2.245891661594644,32,0.8764455264759586,6,0,Espanyol,LaLiga
2150,Rubén Castro,35,2786,13,0.41995692749461594,11,0.35534816941852115,13.728098262101412,0.4434776897304835,12.24154301173985,0.3954554454618042,3,0.09691313711414214,2.3103723619133234,0.07463514449827678,14.288916926831009,0.46159458844752,2.271651508286596,0.07338429136604221,117,3.7796123474515433,27,0.8722182340272793,3,0,Real Betis,LaLiga
2361,Willian José,28,2081,12,0.5189812590100913,9,0.38923594425756847,7.885893329046667,0.3410525706939933,5.656445941887796,0.24463245303695416,4,0.17299375300336378,2.385295510292053,0.10316030558687397,9.129569853655994,0.3948396380725802,3.774261813610792,0.1632309289884533,69,2.9841422393080252,20,0.864968765016819,4,0,Real Sociedad,LaLiga
2442,Kevin Gameiro,31,1713,12,0.6304728546409808,11,0.5779334500875657,11.325682058930395,0.5950445915374989,10.582404389977455,0.555993225392861,5,0.2626970227670753,4.332531962543726,0.22762864952068612,14.978776739910243,0.7869760108534279,1.7622219352051616,0.09258609116664597,50,2.626970227670753,21,1.1033274956217163,0,0,Atletico Madrid,LaLiga
4068,Florin Andone,37,2908,12,0.37138927097661617,12,0.37138927097661617,11.384196180850267,0.35233069335506334,11.384196180850267,0.35233069335506334,2,0.06189821182943604,1.5173082780092957,0.04695933460138811,12.347123192623258,0.3821324234305685,1.0668915249407291,0.03301933880490565,100,3.094910591471802,16,0.49518569463548834,6,0,Deportivo La Coruna,LaLiga
