GameID,Year,Home_Team,Home_Score,Home_Team_wkts_lost,Away_Team,Away_Score,Away_Team_wkts_lost,Result,Winner,Bat_First_Win,Bat_Second_Win,Home_Team_Win,Away_Team_Win
162,2018,GREAT CHISHILL CC,292,5,AUDLEY END & LITTLEBURY CC,105,10,GREAT CHISHILL CC WON  BY 187 RUNS,GREAT CHISHILL CC,TRUE,FALSE,TRUE,FALSE
163,2018,AUDLEY END & LITTLEBURY CC,133,10,GIRTON CC,134,4,GIRTON CC WON  BY 6 WICKETS,GIRTON CC,FALSE,TRUE,FALSE,TRUE
164,2018,HORSEHEATH CC,319,5,AUDLEY END & LITTLEBURY CC,234,9,HORSEHEATH CC WON  BY 85 RUNS,HORSEHEATH CC,TRUE,FALSE,TRUE,FALSE
165,2018,AUDLEY END & LITTLEBURY CC,206,6,ISLEHAM CC,318,6,ISLEHAM CC WON  BY 112 RUNS,ISLEHAM CC,TRUE,FALSE,FALSE,TRUE
166,2018,AUDLEY END & LITTLEBURY CC,164,10,CITY OF ELY CC,165,2,CITY OF ELY CC WON  BY 8 WICKETS,CITY OF ELY CC,FALSE,TRUE,FALSE,TRUE
167,2018,WILBURTON CC,223,10,AUDLEY END & LITTLEBURY CC,200,9,WILBURTON CC WON  BY 23 RUNS,WILBURTON CC,TRUE,FALSE,TRUE,FALSE
168,2018,CAMBRIDGE NCI CC,192,6,CHATTERIS CC,193,9,CHATTERIS CC WON  BY 1 WICKET,CHATTERIS CC,FALSE,TRUE,FALSE,TRUE
169,2018,WIMBLINGTON CC,85,10,CAMBRIDGE NCI CC,259,8,CAMBRIDGE NCI CC WON  BY 174 RUNS,CAMBRIDGE NCI CC,TRUE,FALSE,FALSE,TRUE
171,2018,OVER CC,127,10,CAMBRIDGE NCI CC,289,8,CAMBRIDGE NCI CC WON  BY 162 RUNS,CAMBRIDGE NCI CC,TRUE,FALSE,FALSE,TRUE
172,2018,GREAT SHELFORD CC,221,10,CAMBRIDGE NCI CC,223,3,CAMBRIDGE NCI CC WON  BY 7 WICKETS,CAMBRIDGE NCI CC,FALSE,TRUE,FALSE,TRUE
173,2018,CAMBRIDGE NCI CC,145,7,CAMDEN CC,146,4,CAMDEN CC WON  BY 6 WICKETS,CAMDEN CC,FALSE,TRUE,FALSE,TRUE
174,2018,CAMBRIDGE NCI CC,234,10,CAMBOURNE CC,107,10,CAMBRIDGE NCI CC WON  BY 127 RUNS,CAMBRIDGE NCI CC,TRUE,FALSE,TRUE,FALSE
175,2018,CAMDEN CC,190,3,CAMBRIDGE NCI CC,186,9,CAMDEN CC WON  BY 7 WICKETS,CAMDEN CC,FALSE,TRUE,TRUE,FALSE
176,2018,WISBECH TOWN CC,243,7,CAMBRIDGE NCI CC,148,9,WISBECH TOWN CC WON  BY 95 RUNS,WISBECH TOWN CC,TRUE,FALSE,TRUE,FALSE
177,2018,CAMBRIDGE NCI CC,222,9,WIMBLINGTON CC,172,6,CAMBRIDGE NCI CC WON  BY 50 RUNS,CAMBRIDGE NCI CC,TRUE,FALSE,TRUE,FALSE
