id,player_name,17-18_games,17-18_mins_played,17-18_goals,17-18_goals_per_90,17-18_npg,17-18_npg_per_90,17-18_xG,17-18_xG_per_90,17-18_npxG,17-18_npxG_per_90,17-18_assists,17-18_assists_per_90,17-18_xA,17-18_xA_per_90,17-18_xGChain,17-18_xGChain_per_90,17-18_xGBuildup,17-18_xGBuildup_per_90,17-18_shots,17-18_shots_per_90,17-18_key_passes,17-18_key_passes_per_90,17-18_yellow_cards,17-18_red_cards,17-18_team,17-18_league,17-18_transferred
534,Aaron Cresswell,36,3081,1,0.0292112950340798,1,0.0292112950340798,0.6747355377301574,0.0197098988626141,0.6747355377301574,0.0197098988626141,7,0.2044790652385589,3.3183183670043945,0.0969323768355714,5.961046637967229,0.1741298920535704,4.7976480489596725,0.1401455126278385,21,0.6134371957156768,34,0.9931840311587148,7,0,West Ham,EPL,No
174,Aaron Hunt,29,2172,3,0.1243093922651933,2,0.0828729281767955,2.6055023316293955,0.1079628037967981,1.847725661471486,0.0765632180167742,2,0.0828729281767955,4.349492308683693,0.1802275818515342,8.244843743741512,0.3416371717019963,5.015266189351678,0.2078148973488264,30,1.2430939226519335,62,2.569060773480663,1,0,Hamburger SV,Bundesliga,No
593,Aaron Lennon,29,1933,0,0.0,0,0.0,0.6670304220169783,0.0310567708129995,0.6670304220169783,0.0310567708129995,2,0.0931195033626487,1.2378193028271198,0.0576325593659807,3.437756212428212,0.1600610755915877,1.8082372061908245,0.0841910753011765,14,0.6518365235385412,11,0.512157268494568,2,0,"Burnley,Everton",EPL,Yes
6033,Aaron Mooy,36,3077,4,0.1169970750731231,3,0.0877478063048423,2.863141803070903,0.0837448041197209,2.101972905918956,0.0614811704688677,3,0.0877478063048423,4.150494754314423,0.1213989365902821,7.695051764138043,0.2250746372351068,4.615361374802887,0.1349959453143516,29,0.848228794280143,50,1.4624634384140398,4,0,Huddersfield,EPL,No
504,Aaron Ramsey,24,1849,7,0.3407247160627366,7,0.3407247160627366,6.840767364948988,0.3329740740104969,6.840767364948988,0.3329740740104969,8,0.3893996755002704,5.922472320497036,0.2882760999701099,19.13112424314022,0.9312066965292698,11.193582858890297,0.5448471916171588,56,2.725797728501893,28,1.3628988642509463,0,0,Arsenal,EPL,No
5584,Aaron Wan-Bissaka,7,630,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.219369675964117,0.031338525137731,1.6911525949835775,0.2415932278547968,1.668186567723751,0.2383123668176787,0,0.0,3,0.4285714285714286,1,0,Crystal Palace,EPL,No
5133,Aarón Martín,32,2815,0,0.0,0,0.0,0.1130498284474015,0.0036143817265599,0.1130498284474015,0.0036143817265599,0,0.0,2.4611950609833,0.0786882967987556,5.745156265795231,0.1836817278584621,3.844429390504956,0.1229124849539772,5,0.1598579040852575,31,0.9911190053285968,6,0,Espanyol,LaLiga,No
4804,Abdou Diallo,27,2416,2,0.0745033112582781,2,0.0745033112582781,1.7805053368210793,0.0663267716531031,1.7805053368210793,0.0663267716531031,1,0.037251655629139,0.2227917704731226,0.0082993623106709,3.639500949066132,0.1355774360165363,3.5263791042380035,0.131363460008866,12,0.4470198675496689,4,0.1490066225165563,5,0,Mainz 05,Bundesliga,No
3745,Abdoul Camara,14,899,2,0.200222469410456,2,0.200222469410456,1.5366932675242424,0.1538402603750632,1.5366932675242424,0.1538402603750632,1,0.100111234705228,0.7931667659431696,0.0794049042657233,2.1958442833274603,0.2198286824243286,0.5707698725163937,0.0571404766701617,19,1.9021134593993327,10,1.0011123470522802,0,0,Guingamp,Ligue1,No
5732,Abdoulaye Bamba,18,1532,0,0.0,0,0.0,0.0666150161996483,0.0039134147897965,0.0666150161996483,0.0039134147897965,0,0.0,0.3642941834405064,0.0214010943274448,3.196943593211472,0.1878100022121622,2.9785753013566136,0.1749815777559368,4,0.2349869451697128,7,0.4112271540469974,2,0,Angers,Ligue1,No
