id,player_name,15-16_games,15-16_mins_played,15-16_goals,15-16_goals_per_90,15-16_npg,15-16_npg_per_90,15-16_xG,15-16_xG_per_90,15-16_npxG,15-16_npxG_per_90,15-16_assists,15-16_assists_per_90,15-16_xA,15-16_xA_per_90,15-16_xGChain,15-16_xGChain_per_90,15-16_xGBuildup,15-16_xGBuildup_per_90,15-16_shots,15-16_shots_per_90,15-16_key_passes,15-16_key_passes_per_90,15-16_yellow_cards,15-16_red_cards,15-16_team,15-16_league,15-16_transferred
534,Aaron Cresswell,37,3319,2,0.0542332027719192,2,0.0542332027719192,1.0925626950338485,0.0296265870904026,1.0925626950338485,0.0296265870904026,4,0.1084664055438385,3.294617891311645,0.0893388400777487,10.339367221109567,0.2803684995178852,6.831141199916601,0.1852373329293444,28,0.7592648388068696,40,1.084664055438385,1,0,West Ham,EPL,No
174,Aaron Hunt,23,1739,1,0.0517538815411155,0,0.0,2.07510634046048,0.1073948077294095,1.317329647950828,0.0681769225506466,2,0.1035077630822311,3.181954733096063,0.1646785083258457,5.306075653992593,0.2746100108449301,3.3791052950546145,0.1748818151552129,24,1.242093156986774,40,2.0701552616446235,2,0,"Hamburger SV,Wolfsburg",Bundesliga,Yes
593,Aaron Lennon,25,1534,5,0.2933507170795306,5,0.2933507170795306,2.226095214486122,0.130605325491363,2.226095214486122,0.130605325491363,0,0.0,1.697952676564455,0.0996191270474582,5.5353928580880165,0.3247622928474064,1.903738835826516,0.1116926305243718,18,1.0560625814863105,23,1.349413298565841,1,0,Everton,EPL,No
504,Aaron Ramsey,31,2624,5,0.1714939024390243,5,0.1714939024390243,8.614328717812896,0.2954609697420581,8.614328717812896,0.2954609697420581,4,0.1371951219512195,4.046240143477917,0.1387811024820931,23.282549403607845,0.7985630511908179,14.176449932157992,0.4862349443194433,69,2.3666158536585367,37,1.2690548780487805,4,0,Arsenal,EPL,No
3559,Abdel Barrada,24,1459,1,0.0616860863605209,1,0.0616860863605209,4.277647953480482,0.2638713610783025,3.517552834004164,0.2169840678960759,6,0.3701165181631254,6.545475633814931,0.4037647752181931,9.743599075824022,0.6010444940535723,3.4772149678319693,0.2144957827997787,26,1.6038382453735436,62,3.824537354352296,5,2,Marseille,Ligue1,No
2047,Abdelhamid El Kaoutari,15,1274,1,0.0706436420722135,1,0.0706436420722135,0.6134034693241119,0.043333055132786555,0.6134034693241119,0.043333055132786555,0,0.0,0.9425043687224388,0.06658194127552551,2.639059467241168,0.18643277241107153,2.2957856683060527,0.16218266102633025,3,0.21193092621664048,4,0.282574568288854,2,0,Reims,Ligue1,Yes
3745,Abdoul Camara,17,1462,2,0.1231190150478796,2,0.1231190150478796,2.154231721535325,0.1326134438701636,1.3941365536302328,0.0858223596625998,0,0.0,1.2825763635337353,0.0789547693009823,2.71434616856277,0.167093813386217,0.8064380753785372,0.0496439307688566,29,1.7852257181942544,17,1.0465116279069768,4,0,Angers,Ligue1,No
1495,Abdoulay Konko,18,1528,0,0.0,0,0.0,0.655626280233264,0.0386167311655718,0.655626280233264,0.0386167311655718,0,0.0,0.4302310729399323,0.0253408354480326,4.179666004143655,0.2461845159508697,3.386652811430394,0.1994756237099054,13,0.7657068062827226,9,0.5301047120418848,3,0,Lazio,Serie_A,No
3545,Abdoulaye Diallo,7,630,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.452257327735424,0.0646081896764891,0.452257327735424,0.0646081896764891,0,0.0,0,0.0,0,0,Rennes,Ligue1,No
1726,Abdoulaye Doucouré,31,2097,2,0.08583690987124463,2,0.08583690987124463,2.874883346259594,0.12338555134161347,2.874883346259594,0.12338555134161347,4,0.17167381974248927,2.536104502156377,0.10884568678782734,9.271361606195569,0.3979125152873635,6.033216180279851,0.2589363167502082,30,1.2875536480686696,31,1.3304721030042919,6,0,Granada,LaLiga,Yes
684,Abdul Rahman Baba,15,1018,0,0.0,0,0.0,0.3791148830205202,0.0335170328800067,0.3791148830205202,0.0335170328800067,1,0.0884086444007858,0.1792409121990203,0.0158464460686756,3.869670283049345,0.3421123040023979,3.490555379539728,0.3085952693109779,6,0.5304518664047151,3,0.2652259332023575,1,0,Chelsea,EPL,No
2431,Abraham,20,1104,1,0.0815217391304347,1,0.0815217391304347,2.736555091105401,0.2230887302531577,2.736555091105401,0.2230887302531577,1,0.0815217391304347,1.8894038144499063,0.1540274848736336,6.045774230733514,0.4928620296793625,2.8010659981518984,0.2283477715884699,15,1.2228260869565215,15,1.2228260869565215,1,0,Espanyol,LaLiga,No
1838,Achraf Lazaar,30,2293,1,0.039249890972525,1,0.039249890972525,0.4792143143713474,0.0188091095915487,0.4792143143713474,0.0188091095915487,2,0.0784997819450501,2.398789146915078,0.0941522124824932,7.156555995345116,0.2808940425560665,5.58102488797158,0.2190546183678335,28,1.0989969472307022,21,0.8242477104230266,2,1,Palermo,Serie_A,No
